0,1
0,"0.079*""the"" + 0.065*""of"" + 0.035*""and"" + 0.032*""to"" + 0.024*""in"" + 0.018*""a"" + 0.015*""that"" + 0.012*""is"" + 0.009*""for"" + 0.009*""be"""
1,"0.082*""the"" + 0.049*""of"" + 0.036*""and"" + 0.034*""to"" + 0.024*""in"" + 0.021*""a"" + 0.018*""that"" + 0.012*""is"" + 0.011*""we"" + 0.009*""for"""
2,"0.097*""the"" + 0.054*""of"" + 0.040*""and"" + 0.036*""to"" + 0.021*""in"" + 0.018*""that"" + 0.015*""a"" + 0.011*""for"" + 0.010*""we"" + 0.010*""is"""
3,"0.076*""the"" + 0.044*""of"" + 0.036*""and"" + 0.028*""to"" + 0.024*""in"" + 0.020*""that"" + 0.014*""we"" + 0.013*""for"" + 0.012*""is"" + 0.012*""a"""
4,"0.080*""the"" + 0.048*""and"" + 0.039*""of"" + 0.031*""to"" + 0.029*""in"" + 0.020*""a"" + 0.012*""for"" + 0.012*""we"" + 0.011*""that"" + 0.011*""is"""
5,"0.073*""the"" + 0.060*""of"" + 0.038*""to"" + 0.030*""and"" + 0.029*""in"" + 0.018*""a"" + 0.013*""is"" + 0.013*""that"" + 0.012*""we"" + 0.011*""for"""
6,"0.086*""the"" + 0.053*""of"" + 0.035*""to"" + 0.026*""and"" + 0.017*""that"" + 0.017*""in"" + 0.013*""a"" + 0.012*""for"" + 0.012*""is"" + 0.009*""on"""
7,"0.102*""the"" + 0.059*""of"" + 0.033*""to"" + 0.032*""and"" + 0.025*""in"" + 0.013*""a"" + 0.012*""that"" + 0.012*""for"" + 0.012*""is"" + 0.010*""we"""
8,"0.096*""the"" + 0.057*""of"" + 0.042*""and"" + 0.034*""to"" + 0.027*""in"" + 0.014*""a"" + 0.013*""that"" + 0.010*""is"" + 0.010*""we"" + 0.009*""for"""
9,"0.077*""the"" + 0.046*""of"" + 0.041*""and"" + 0.038*""to"" + 0.018*""in"" + 0.016*""that"" + 0.015*""a"" + 0.011*""is"" + 0.011*""for"" + 0.009*""we"""
